message,isTarget,type
solve issue # 72,0,0
fix some javadoc issue,0,0
fix the view go issue for the panel,1,1
fix dialog color,0,0
fix redundant initializers,0,0
create playback service,0,0
fix downloadservice deadlock,1,1
fix download bar displacement,1,1
fix import,0,0
do not auto - enable sleep timer after skip,1,2
fix gradle free build,0,0
fix for antennapod / antennapod # 629,0,0
fix file share,0,0
fix for antennapod / antennapod # 610,0,0
fix critical flattr bug,1,1
fix margin for author,0,0
fix test,0,0
fix several problem apsp algorithm,1,1
fix back press issue,1,1
fix static analysis issue,1,1
fix test,0,0
fix datetime parsing ( seconds absent ),1,1
fix actionbar searchview,0,0
fix or improve test,0,0
fix test,0,0
fix other square image,0,0
fix some nullpointerexceptions,1,1
fix db problem,1,1
fix manual math calculation,1,1
fix context menu share,1,1
fix new label,0,0
fix test,0,0
send play intent if service state be unknown,1,1
fix ui element,0,0
fix npe and hide progress bar without medium,1,1
make subscription view look nice,0,0
fix some warning,0,0
fix regex,0,0
fix empty contentencoded,0,0
fix test,0,0
do not anr when call syncservice,1,2
fix downloadobserver,0,0
fix whitespace,0,0
fix crop button of update interval / time of day dialog,1,1
fix # 1560 for some remain platform still affect,1,1
fix background for long click,1,1
fix crash when click timecode,1,1
do not deadlock,1,2
fix lambda,0,0
fix feedhandlertest,0,0
create external feeditemlist adapter,0,0
fix some test,0,0
fix build and test,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix bug,0,0
fix some bug,0,0
fix bug,0,0
fix some issue raise on studio inspection,1,1
maintain database may cause anr,1,1
fix # 716 - npe in applyandanimateremovals,1,1
fix # 409 - setendlessscrolllistener crash when logging be enable,1,1
fix some parameter,0,0
fix # 112,0,0
fix some bug on selection and onrestore .,1,1
fix comment issue .,0,0
resolve # 543 - support for diffutil be back,1,1
fix the problem of find error on turkey phone .,1,1
fix bug when add not null constraint .,1,1
optimise code .,0,0
persists resolve dns,1,1
fix back navigation,1,1
let close thing,0,0
fix persistent notification,0,0
make sure iab will always be unbound,1,3
optimize some logic .,0,0
"fix # 157 , fix # 158 .",0,0
optimize code .,0,0
"fix bitmapbinary , optimize the cookie for domian .",1,1
fix the error code about generate thumbnail,1,1
"fix # 298 , # 291",0,0
fix some minor warning,0,0
reflect problem .,0,0
optmize refmethod .,0,0
fix the install animation bug .,1,1
fix file name for substrate x86 header,1,1
optimize the pm .,0,0
fix log message which drop throwables,1,1
fix npe on rangedbeacon per # 638,1,1
fix npe when bluetooth be off per # 107,1,1
fix crash when region have more identifier than beacon,1,1
fix broken test due to overlap sample interval,1,1
fix endianness of data field when create advertising byte,1,1
fix illegalargumentexception from end user switch watching,1,1
fix cme in modelspecificdistancecalculator,1,1
fix gradle deprecation warning by use snapshot javadoc plugin,1,1
fix logger issue that be root from asop .,1,1
fix runtime crash report from the field .,1,1
fix additional crash report in # 904,0,0
fix leak notificationprocessor registration cause by bind and unbind,1,1
fix # 113 support material design commmunity icon,1,1
make skylarkerrorreporter proxy rulecontext error consumer,1,1
fix glob performance regression introduce by commit 3a95f353704dc2f7061e2c0786c2459ac1db0fd1 .,1,1
retry ensureinputspresent / execute / download,0,0
fix a few test when run under jdk9 .,0,0
fix the case with duplicated target entry .,1,1
fix error message that give incomplete information,1,1
fix classpathconfiguredfragment bootclasspath collection,1,1
fix fail test due to jdk bug .,1,1
ensure runner name be always set .,1,3
fix nocompress _ extensions list for aapt2 .,0,0
fix linter issue in lib / syntax .,0,0
fix javainfo to correctly inherit plugins,1,1
fix crash when unioning depsets with different order,1,1
fix skylarklist # equal,0,0
fix some linger local var name,0,0
fix blaze crash on bad register _ execution _ platforms ( ) label .,1,1
fix analysis performance regression cause by header compilation,1,1
fix npe when aspect propagate over an alias .,1,1
fix some generic warning .,0,0
avoid copy exist immutable collection,1,2
fix window jdk7 test,0,0
fix strict module map propagation for j2objc .,1,1
fix bazel breakage,0,0
fix declare provider behavior,0,0
fix nosuchelementexception when buildeventartifactuploadermap have no element .,1,1
fix configfeatureflagtransitionfactory to obey patchtransition equality .,1,1
fix various linter error,1,1
fix broken test .,0,0
fix handling of noneable @ param,1,1
fix warning in ` uistatetracker ` .,0,0
fix wrong manipulation with bytefragmentatoffset,1,1
fix # 837 : worker _ verbose flag have no effect .,1,1
fix npe with unset maven _ jar sha1,1,1
fix javatools and enable test in bazelci .,0,0
fix errorprone warning in skylark test .,1,1
fix some gc churn issue when deal with label :,1,1
fix the optionsparser to deal with crlf line ending .,0,0
ensure attribute name length be reasonable,1,3
fix memory regression from cl / 160891204 .,0,0
"fix bug in targetpatternlist . equals , which be ignore the offset .",1,1
fix illegalstateexception when reload several time the same extension,1,1
fix mutability bug in skylarklist / skylarkmap java apis,1,1
fix downloadertestsuite so that it work in ipv6 - only environment .,1,1
fix an aquery crash with aspect .,1,1
fix skylarkcallable signature mismatch error messaging,1,1
fix fileset derive input rewinding,0,0
fix cc _ toolchain doc,0,0
pa metadatahandler to actioninputprefetcher,0,0
fix skylark aspect issue .,0,0
optimize transitiveinfomap memory consumption .,1,3
"fix # 3834 , make sure test . log always exist .",1,3
fix getchildreninterruptibly to actually propagate the interruptedexception .,1,1
optimize deletetreesbelow .,0,0
fix miscategorized starlark provider type,1,1
fix error handle in workspacefile / workspaceast,1,1
fix skybuild crash when create include scan header data,1,1
fix # 3102 htmlchart be uncolored,0,0
fix cpp action cache,1,1
fix broken link and format,0,0
fix precondition nullability,1,1
fix tfrecordcodec to try hard to read / write ( # 11397 ),0,0
fix float point literal,0,0
fix dataflowrunner view override output,0,0
fix race condition in directrunner watermark update,1,1
fix whitespace error cause whitespace lint to fail,1,1
fix dataflowrunner batch view override ; give them accurate type,1,1
fix screendiff integration test,0,0
fix state cache test .,0,0
fix mongodb sql integration test,0,0
fix influxdb credential bind,0,0
fix minor issue in the generator type hint,1,1
fix checkstyle,0,0
fix an issue where filebasedsink may suppress exception .,1,1
fix spotless issue after rebase,1,1
fix kotlin warning ( # 10976 ),0,0
fix minor issue in the generator type hint,1,1
fix error hint for avg ( int64 ) .,0,0
fix localfilesystemstest to work with java 11,0,0
fix string use to verify test output,1,1
