commitId,commitTime,diff,message,isImplicit
1816014eb95cb445de05e23d9369d2d25e55ed0c,2016-06-08 20:10:01+02:00,mmm DismantleBytecode . java <nl> ppp DismantleBytecode . java <nl> + } else if (constantRefOperand instanceof ConstantInvokeDynamic) { <nl> + ConstantInvokeDynamic id = (ConstantInvokeDynamic) constantRefOperand ; <nl> + ConstantNameAndType sig = (ConstantNameAndType) getConstantPool() . getConstant( <nl> + id . getNameAndTypeIndex()) ; <nl> + nameConstantOperand = getStringFromIndex(sig . getNameIndex()) ; <nl> + sigConstantOperand = getStringFromIndex(sig . getSignatureIndex()) ; <nl> - } else if (constantRefOperand instanceof ConstantInvokeDynamic) { <nl> - ConstantInvokeDynamic id = (ConstantInvokeDynamic) constantRefOperand ; <nl> - ConstantNameAndType sig = (ConstantNameAndType) getConstantPool() . getConstant( <nl> - id . getNameAndTypeIndex()) ; <nl> - nameConstantOperand = getStringFromIndex(sig . getNameIndex()) ; <nl> - <nl>,fix npe in dismantlebytecode:716 see bcel-273,1
c4bb5f058454a6b112ac756f4ff7ada3eda44445,2016-12-05 23:08:25-06:00,"mmm ExplicitSerialization . java <nl> ppp ExplicitSerialization . java <nl> - final static XMethod writeObject = XFactory . createXMethod(""java . io . ObjectOutputStream"", ""writeObject"", ""(Ljava/lang/Object ;)V"", false) ; <nl> + private final XMethod writeObject = XFactory . createXMethod(""java . io . ObjectOutputStream"", ""writeObject"", ""(Ljava/lang/Object ;)V"", false) ; <nl> + private final XMethod readObject = XFactory . createXMethod(""java . io . ObjectInputStream"", ""readObject"", ""()Ljava/lang/Object ;"", false) ; <nl> - final static XMethod readObject = XFactory . createXMethod(""java . io . ObjectInputStream"", ""readObject"", ""()Ljava/lang/Object ;"", false) ; <nl> + private static final ClassDescriptor ObjectOutputStream = DescriptorFactory . createClassDescriptor(ObjectOutputStream . class) ; <nl>",analysis dependant variable should not be static,1
389e33ac6e9d96f96f9e8c094c62041e5d09ec10,2017-02-16 01:22:31+09:00,mmm Version . java <nl> ppp Version . java <nl> + import java . util . Enumeration ; <nl> - try (final InputStream in = Version . class . getResourceAsStream("META-INF/MANIFEST . MF")) { <nl> - final Manifest manifest = new Manifest(in) ; <nl> - version = manifest . getMainAttributes() . getValue("Bundle-Version") ; <nl> + try { <nl> + final Enumeration<URL> resources = Version . class . getClassLoader() <nl> +  . getResources("META-INF/MANIFEST . MF") ; <nl> + while (resources . hasMoreElements()) { <nl> + try (final InputStream is = resources . nextElement() . openStream()) { <nl> + final Manifest <nl>,make sure we get the proper manifest,1
0313cbce1f406170e700e7025526e9b759ff7af6,2017-07-10 10:01:01+02:00,mmm SignatureParserTest . java <nl> ppp SignatureParserTest . java <nl> - import org . junit . Before ; <nl> - SignatureParser noParams ; <nl> - SignatureParser manyParams ; <nl> - @Before <nl> - public void setUp() { <nl> - noParams = new SignatureParser("()V") ; <nl> - manyParams = new SignatureParser("(IJFDZLjava/lang/String ;B)Ljava/lang/Object ;") ; <nl> - } <nl> - Iterator<String> i = noParams . parameterSignatureIterator() ; <nl> + SignatureParser sut = new SignatureParser("()V") ; <nl> + Iterator<String> i = sut . parameterSignatureIterator() ; <nl> - Iterator<String> i = manyParams . parameterSignatureIterator() ; <nl> + SignatureParser sut = new SignatureParser("(IJFDZLjava/lang/String ;B)Ljava/lang/Object <nl>,do not use @ before setup unless necessary,1
659b013752b7e44968e446edd31f127bb89bcd51,2017-07-25 10:12:27+02:00,new file <nl> ppp Issue259Test . java <nl> + package edu . umd . cs . findbugs . nullness ; <nl> + import edu . umd . cs . findbugs . BugCollection ; <nl> + import edu . umd . cs . findbugs . test . SpotBugsRule ; <nl> + import org . junit . Rule ; <nl> + import org . junit . Test ; <nl> + import java . nio . file . Paths ; <nl> + import static org . hamcrest . Matchers . emptyIterable ; <nl> + import static org . junit . Assert . <nl>,close # 259 : ensure that report problem be already fix in spotbugs,1
5f60fb3d956b1b4984567dbe6c7a9d4933a0b1d3,2017-09-01 07:37:20+04:00,mmm UnconditionalValueDerefAnalysis . java <nl> ppp UnconditionalValueDerefAnalysis . java <nl> + import org . apache . bcel . generic . INVOKEDYNAMIC ; <nl> + if (inv instanceof INVOKEDYNAMIC) { <nl> + return Collections . emptySet() ; <nl> + } <nl>,do not check parameter for indy call,1
be7e60721b042525d73fc550074c6983fa598088,2017-10-24 08:07:22-05:00,"mmm AbstractIntegrationTest . java <nl> ppp AbstractIntegrationTest . java <nl> - File f2 = new File(getFindbugsTestCases(), path . replace(BUILD_CLASSES_CLI, BUILD_CLASSES_ECLIPSE)) ; <nl> + String replaced = path . replace(BUILD_CLASSES_CLI, BUILD_CLASSES_ECLIPSE) ; <nl> + replaced = replaced . replace("" .  . /java9/"", """") ; <nl> + File f2 = new File(getFindbugsTestCases(), replaced) ; <nl> mmm Issue408Test . java <nl> ppp Issue408Test . java <nl> + import static edu . umd . cs . findbugs . test . CountMatcher . containsExactly ; <nl> + import static org . junit . Assert . assertThat ; <nl> + import java . io <nl>",do not remember module-info see to avoid pop up silly bcel error,1
80b8683ad3960e82697d97c1a2eba3d5efefd6ce,2018-01-05 11:08:06+01:00,mmm LocalVariableAnnotation . java <nl> ppp LocalVariableAnnotation . java <nl> - } else { <nl> - for (LocalVariable lv : localVariableTable . getLocalVariableTable()) { <nl> - if (lv . getIndex() == local) { <nl> - if (!"?" . equals(localName) && !localName . equals(lv . getName())) { <nl> - localName = "?" ; <nl> - break ; <nl> - } <nl> - localName = lv . getName() ; <nl> - } <nl> - } <nl>,do not `` guess '' variable name,0
cd78f5012577aa077d91494ec98e404ce84af980,2018-01-21 13:36:48+01:00,new file <nl> ppp Issue527Test . java <nl> + package edu . umd . cs . findbugs . ba ; <nl> + import static edu . umd . cs . findbugs . test . CountMatcher . containsExactly ; <nl> + import static org . junit . Assert . assertEquals ; <nl> + import static org . junit . Assert . assertThat ; <nl> + import java . util . ArrayList ; <nl> + import java . util . Collections ; <nl> + import java . util . Iterator ; <nl> + import java . util . List ; <nl> <nl>,do not use garbage method attribute from invokedynamic for xmethod,1
34620b0088882a62dc42ba333b0d1f07c923a8bb,2018-01-21 13:36:48+01:00,mmm PruneUnconditionalExceptionThrowerEdges . java <nl> ppp PruneUnconditionalExceptionThrowerEdges . java <nl> + import org . apache . bcel . generic . INVOKEDYNAMIC ; <nl> + if (exceptionThrower instanceof INVOKEDYNAMIC) { <nl> + continue ; <nl> + } <nl> mmm BackwardTypeQualifierDataflowAnalysis . java <nl> ppp BackwardTypeQualifierDataflowAnalysis . java <nl> + import org . apache . bcel . generic . INVOKEDYNAMIC ; <nl> + if (inv instanceof INVOKEDYNAMIC) { <nl> + return ; <nl> + } <nl> mmm ForwardTypeQualifierDataflowAnalysis . java <nl> ppp ForwardTypeQualifierDataflowAnalysis . java <nl> + import org . apache . bcel . generic . INVOKEDYNAMIC ; <nl> + if <nl>,do not call createxmethod ( invokeinstruction ) with invokedynamic,1
